enzyme	name	all	unique
AlfI	unclassified	622	622
AlfI	unclassified	707	698
AlfI	unclassified	252	246
AlfI	Thermoprotei	11441	11368
AlfI	Archaeoglobi	2689	2670
AlfI	Candidatus Methanoliparia	426	420
AlfI	Halobacteria	96414	95554
AlfI	Methanobacteria	6446	6406
AlfI	Methanococci	2856	2818
AlfI	Methanomicrobia	44558	44267
AlfI	Methanonatronarchaeia	97	96
AlfI	Methanopyri	326	326
AlfI	Thermococci	7715	7689
AlfI	Thermoplasmata	5265	5231
AlfI	unclassified	781	772
AlfI	Nitrososphaeria	4912	4868
AlfI	unclassified	5200	5152
AlfI	unclassified	616	595
AlfI	Abditibacteria	929	924
AlfI	Acidobacteriia	111356	110215
AlfI	Blastocatellia	3999	2405
AlfI	Holophagae	2470	2407
AlfI	Thermoanaerobaculia	1077	1065
AlfI	Vicinamibacteria	3720	3670
AlfI	unclassified	2933	2904
AlfI	Acidimicrobiia	9138	8933
AlfI	Actinobacteria	6997924	6938623
AlfI	Coriobacteriia	139715	134914
AlfI	Nitriliruptoria	11347	11057
AlfI	Rubrobacteria	7438	7209
AlfI	Thermoleophilia	20297	19767
AlfI	unclassified	5714	5449
AlfI	Aquificae	4356	4339
AlfI	Armatimonadia	1984	1968
AlfI	Chthonomonadetes	1983	1976
AlfI	Fimbriimonadia	1045	1044
AlfI	unclassified	1778	1753
AlfI	Bacteroidia	455023	444367
AlfI	Chitinophagia	257881	256553
AlfI	Cytophagia	448867	445679
AlfI	Flavobacteriia	445346	438300
AlfI	Saprospiria	34811	34388
AlfI	Sphingobacteriia	255569	252999
AlfI	unclassified	22129	20482
AlfI	Balneolia	10152	10103
AlfI	unclassified	1853	1820
AlfI	Caldisericia	187	185
AlfI	Calditrichae	1324	1302
AlfI	unclassified	174	160
AlfI	unclassified	143	142
AlfI	unclassified	575	565
AlfI	Candidatus Cryosericia	2753	2746
AlfI	unclassified	39	39
AlfI	unclassified	995	993
AlfI	unclassified	4032	3995
AlfI	unclassified	2878	2827
AlfI	unclassified	4856	4821
AlfI	unclassified	6458	6445
AlfI	Chlamydiia	13563	13385
AlfI	Chlorobia	23608	23307
AlfI	Anaerolineae	18161	18011
AlfI	Ardenticatenia	3533	3495
AlfI	Caldilineae	5378	5269
AlfI	Chloroflexia	47393	46828
AlfI	Dehalococcoidia	3892	3825
AlfI	Ktedonobacteria	41908	41276
AlfI	Thermoflexia	1519	1497
AlfI	Thermomicrobia	5127	5068
AlfI	Chrysiogenetes	2877	2832
AlfI	Coprothermobacteria	925	909
AlfI	Gloeobacteria	4748	4678
AlfI	unclassified	363109	356519
AlfI	Deferribacteres	4162	4111
AlfI	Deinococci	112157	110563
AlfI	Dictyoglomia	302	295
AlfI	Elusimicrobia	916	908
AlfI	Endomicrobia	549	372
AlfI	unclassified	220	45
AlfI	Chitinivibrionia	606	599
AlfI	Fibrobacteria	25274	25171
AlfI	Bacilli	1960146	1932075
AlfI	Clostridia	879063	852476
AlfI	Erysipelotrichia	36891	27763
AlfI	Limnochordia	1048	1025
AlfI	Negativicutes	130226	128895
AlfI	Tissierellia	20126	16383
AlfI	unclassified	17456	10270
AlfI	Fusobacteriia	8358	7966
AlfI	Gemmatimonadetes	8706	8592
AlfI	Ignavibacteria	829	825
AlfI	Kiritimatiellae	7714	7598
AlfI	Lentisphaeria	5346	5263
AlfI	Nitrospinia	1044	1023
AlfI	Nitrospira	15980	15848
AlfI	unclassified	735	732
AlfI	Candidatus Brocadiae	4607	4508
AlfI	Phycisphaerae	9891	9762
AlfI	Planctomycetia	112262	108837
AlfI	unclassified	170274	166387
AlfI	Acidithiobacillia	18507	18050
AlfI	Alphaproteobacteria	6004215	5919859
AlfI	Betaproteobacteria	4476141	4394200
AlfI	Deltaproteobacteria	519176	511931
AlfI	Epsilonproteobacteria	122804	119408
AlfI	Gammaproteobacteria	7983567	7859256
AlfI	Hydrogenophilalia	6398	5982
AlfI	Oligoflexia	19308	19229
AlfI	Zetaproteobacteria	11301	11231
AlfI	superkingdom	1913	0
AlfI	unclassified	9170	3022
AlfI	Rhodothermia	3899	3821
AlfI	Spirochaetia	75216	74320
AlfI	Synergistia	12573	12429
AlfI	Mollicutes	11048	10779
AlfI	unclassified	418	402
AlfI	Thermodesulfobacteria	1677	1645
AlfI	Thermotogae	8525	8447
AlfI	Methylacidiphilae	1608	1588
AlfI	Opitutae	31203	30758
AlfI	Spartobacteria	7484	7427
AlfI	Verrucomicrobiae	52366	50905
AlfI	unclassified	13349	13052
AlfI	unclassified	680	668
AlfI	Candidatus Babeliae	82	81
AlfI	unclassified	79622	48053
AlfI	Dothideomycetes	246250	244608
AlfI	Eurotiomycetes	557337	554596
AlfI	Leotiomycetes	73901	73038
AlfI	Orbiliomycetes	7546	7534
AlfI	Pezizomycetes	17910	17197
AlfI	Pneumocystidomycetes	1648	1612
AlfI	Saccharomycetes	102338	100837
AlfI	Schizosaccharomycetes	7602	7503
AlfI	Sordariomycetes	490388	486823
AlfI	Xylonomycetes	6743	6718
AlfI	unclassified	3908	3874
AlfI	Agaricomycetes	187216	180785
AlfI	Exobasidiomycetes	67876	67717
AlfI	Malasseziomycetes	18397	18321
AlfI	Microbotryomycetes	12861	12775
AlfI	Mixiomycetes	7301	7172
AlfI	Pucciniomycetes	22646	20579
AlfI	Tremellomycetes	65753	65331
AlfI	Ustilaginomycetes	54394	54209
AlfI	Wallemiomycetes	3360	3319
AlfI	Chytridiomycetes	12646	12296
AlfI	unclassified	8008	7797
AlfI	Glomeromycetes	6534	5953
AlfI	Mortierellomycetes	6890	6515
AlfI	Mucoromycetes	9205	8717
AloI	unclassified	209	209
AloI	unclassified	935	925
AloI	unclassified	96	93
AloI	Thermoprotei	13329	13226
AloI	Archaeoglobi	2457	2437
AloI	Candidatus Methanoliparia	384	379
AloI	Halobacteria	236951	235094
AloI	Methanobacteria	7615	7565
AloI	Methanococci	2859	2814
AloI	Methanomicrobia	34987	34660
AloI	Methanonatronarchaeia	121	118
AloI	Methanopyri	1135	1130
AloI	Thermococci	16084	16032
AloI	Thermoplasmata	5723	5677
AloI	unclassified	407	401
AloI	Nitrososphaeria	1635	1615
AloI	unclassified	3427	3393
AloI	unclassified	1615	1508
AloI	Abditibacteria	327	320
AloI	Acidobacteriia	43037	42375
AloI	Blastocatellia	1406	877
AloI	Holophagae	1710	1655
AloI	Thermoanaerobaculia	420	415
AloI	Vicinamibacteria	1401	1378
AloI	unclassified	1436	1400
AloI	Acidimicrobiia	5360	5195
AloI	Actinobacteria	3564533	3528200
AloI	Coriobacteriia	43592	41744
AloI	Nitriliruptoria	5816	5561
AloI	Rubrobacteria	5386	5194
AloI	Thermoleophilia	10037	9569
AloI	unclassified	2566	2348
AloI	Aquificae	6111	6064
AloI	Armatimonadia	1361	1333
AloI	Chthonomonadetes	562	552
AloI	Fimbriimonadia	1216	1204
AloI	unclassified	1162	1149
AloI	Bacteroidia	205742	200656
AloI	Chitinophagia	77215	76462
AloI	Cytophagia	143056	141485
AloI	Flavobacteriia	298139	293677
AloI	Saprospiria	15426	15237
AloI	Sphingobacteriia	81062	79751
AloI	unclassified	9505	8794
AloI	Balneolia	6755	6707
AloI	unclassified	490	482
AloI	Caldisericia	122	120
AloI	Calditrichae	477	467
AloI	unclassified	125	111
AloI	unclassified	597	587
AloI	unclassified	579	567
AloI	Candidatus Cryosericia	1551	1539
AloI	unclassified	36	36
AloI	unclassified	911	907
AloI	unclassified	2161	2146
AloI	unclassified	1182	1153
AloI	unclassified	1187	1164
AloI	unclassified	1190	1180
AloI	Chlamydiia	6759	6645
AloI	Chlorobia	9604	9416
AloI	Anaerolineae	6831	6739
AloI	Ardenticatenia	855	831
AloI	Caldilineae	1391	1356
AloI	Chloroflexia	6872	6741
AloI	Dehalococcoidia	1905	1849
AloI	Ktedonobacteria	9132	8943
AloI	Thermoflexia	1670	1636
AloI	Thermomicrobia	2425	2383
AloI	Chrysiogenetes	637	622
AloI	Coprothermobacteria	407	399
AloI	Gloeobacteria	997	968
AloI	unclassified	121021	118106
AloI	Deferribacteres	2609	2572
AloI	Deinococci	46254	45251
AloI	Dictyoglomia	441	436
AloI	Elusimicrobia	207	206
AloI	Endomicrobia	154	91
AloI	unclassified	70	10
AloI	Chitinivibrionia	327	327
AloI	Fibrobacteria	13843	13745
AloI	Bacilli	1033426	1017151
AloI	Clostridia	448878	434155
AloI	Erysipelotrichia	18439	14290
AloI	Limnochordia	596	575
AloI	Negativicutes	40119	39315
AloI	Tissierellia	15318	13527
AloI	unclassified	8879	5259
AloI	Fusobacteriia	11219	10804
AloI	Gemmatimonadetes	2917	2830
AloI	Ignavibacteria	708	700
AloI	Kiritimatiellae	4215	4119
AloI	Lentisphaeria	3587	3518
AloI	Nitrospinia	919	904
AloI	Nitrospira	11919	11778
AloI	unclassified	233	232
AloI	Candidatus Brocadiae	2072	2030
AloI	Phycisphaerae	3569	3516
AloI	Planctomycetia	73619	70842
AloI	unclassified	89330	86596
AloI	Acidithiobacillia	4353	4202
AloI	Alphaproteobacteria	1944991	1909946
AloI	Betaproteobacteria	831941	805470
AloI	Deltaproteobacteria	239916	235749
AloI	Epsilonproteobacteria	24642	23619
AloI	Gammaproteobacteria	1573644	1533225
AloI	Hydrogenophilalia	1956	1796
AloI	Oligoflexia	11341	11235
AloI	Zetaproteobacteria	1713	1687
AloI	superkingdom	461	0
AloI	unclassified	1965	371
AloI	Rhodothermia	3848	3765
AloI	Spirochaetia	93602	92922
AloI	Synergistia	11184	10990
AloI	Mollicutes	9548	9228
AloI	unclassified	510	493
AloI	Thermodesulfobacteria	1807	1773
AloI	Thermotogae	11786	11693
AloI	Methylacidiphilae	1270	1260
AloI	Opitutae	13688	13442
AloI	Spartobacteria	2923	2896
AloI	Verrucomicrobiae	25520	24539
AloI	unclassified	5885	5726
AloI	unclassified	438	432
AloI	Candidatus Babeliae	45	45
AloI	unclassified	26950	17269
AloI	Dothideomycetes	83951	82954
AloI	Eurotiomycetes	287006	285193
AloI	Leotiomycetes	41268	40704
AloI	Orbiliomycetes	4855	4833
AloI	Pezizomycetes	12986	11918
AloI	Pneumocystidomycetes	1131	1123
AloI	Saccharomycetes	65820	64656
AloI	Schizosaccharomycetes	4246	4172
AloI	Sordariomycetes	179865	177903
AloI	Xylonomycetes	2530	2512
AloI	unclassified	2493	2474
AloI	Agaricomycetes	85562	82471
AloI	Exobasidiomycetes	11272	11173
AloI	Malasseziomycetes	3333	3279
AloI	Microbotryomycetes	4993	4925
AloI	Mixiomycetes	894	881
AloI	Pucciniomycetes	13738	12326
AloI	Tremellomycetes	34145	33832
AloI	Ustilaginomycetes	12254	12141
AloI	Wallemiomycetes	1158	1140
AloI	Chytridiomycetes	4324	4195
AloI	unclassified	2999	2935
AloI	Glomeromycetes	4460	4062
AloI	Mortierellomycetes	3399	3216
AloI	Mucoromycetes	4400	4205
BaeI	unclassified	222	221
BaeI	unclassified	550	542
BaeI	unclassified	110	108
BaeI	Thermoprotei	15455	15389
BaeI	Archaeoglobi	1302	1293
BaeI	Candidatus Methanoliparia	423	417
BaeI	Halobacteria	159589	158644
BaeI	Methanobacteria	10907	10771
BaeI	Methanococci	3655	3609
BaeI	Methanomicrobia	33595	33282
BaeI	Methanonatronarchaeia	198	195
BaeI	Methanopyri	1069	1068
BaeI	Thermococci	7685	7661
BaeI	Thermoplasmata	4237	4193
BaeI	unclassified	572	566
BaeI	Nitrososphaeria	2504	2477
BaeI	unclassified	4524	4474
BaeI	unclassified	908	884
BaeI	Abditibacteria	119	117
BaeI	Acidobacteriia	26850	26530
BaeI	Blastocatellia	914	516
BaeI	Holophagae	382	372
BaeI	Thermoanaerobaculia	208	205
BaeI	Vicinamibacteria	767	760
BaeI	unclassified	582	574
BaeI	Acidimicrobiia	3529	3460
BaeI	Actinobacteria	1802063	1784881
BaeI	Coriobacteriia	31588	30495
BaeI	Nitriliruptoria	1898	1844
BaeI	Rubrobacteria	1954	1928
BaeI	Thermoleophilia	1643	1620
BaeI	unclassified	1327	1249
BaeI	Aquificae	6124	6048
BaeI	Armatimonadia	608	601
BaeI	Chthonomonadetes	683	680
BaeI	Fimbriimonadia	454	448
BaeI	unclassified	476	466
BaeI	Bacteroidia	305293	298358
BaeI	Chitinophagia	162064	160563
BaeI	Cytophagia	253864	251588
BaeI	Flavobacteriia	479358	473208
BaeI	Saprospiria	25717	25407
BaeI	Sphingobacteriia	194768	191782
BaeI	unclassified	7878	6672
BaeI	Balneolia	9340	9285
BaeI	unclassified	891	865
BaeI	Caldisericia	169	165
BaeI	Calditrichae	397	387
BaeI	unclassified	213	187
BaeI	unclassified	86	85
BaeI	unclassified	304	292
BaeI	Candidatus Cryosericia	1446	1436
BaeI	unclassified	58	52
BaeI	unclassified	852	846
BaeI	unclassified	2775	2745
BaeI	unclassified	1318	1289
BaeI	unclassified	3254	3214
BaeI	unclassified	2022	2017
BaeI	Chlamydiia	6043	5892
BaeI	Chlorobia	7890	7782
BaeI	Anaerolineae	5844	5797
BaeI	Ardenticatenia	936	926
BaeI	Caldilineae	997	977
BaeI	Chloroflexia	14011	13841
BaeI	Dehalococcoidia	3002	2965
BaeI	Ktedonobacteria	14981	14770
BaeI	Thermoflexia	283	281
BaeI	Thermomicrobia	1937	1922
BaeI	Chrysiogenetes	881	868
BaeI	Coprothermobacteria	665	649
BaeI	Gloeobacteria	1192	1173
BaeI	unclassified	210351	206881
BaeI	Deferribacteres	3108	3056
BaeI	Deinococci	21664	21277
BaeI	Dictyoglomia	643	637
BaeI	Elusimicrobia	299	297
BaeI	Endomicrobia	189	106
BaeI	unclassified	100	17
BaeI	Chitinivibrionia	662	658
BaeI	Fibrobacteria	11007	10939
BaeI	Bacilli	1362185	1341909
BaeI	Clostridia	639263	618721
BaeI	Erysipelotrichia	29794	22270
BaeI	Limnochordia	328	320
BaeI	Negativicutes	69569	68540
BaeI	Tissierellia	23383	20828
BaeI	unclassified	11877	6746
BaeI	Fusobacteriia	15142	14721
BaeI	Gemmatimonadetes	1893	1876
BaeI	Ignavibacteria	668	654
BaeI	Kiritimatiellae	1794	1766
BaeI	Lentisphaeria	1458	1401
BaeI	Nitrospinia	336	328
BaeI	Nitrospira	7337	7264
BaeI	unclassified	631	625
BaeI	Candidatus Brocadiae	4015	3927
BaeI	Phycisphaerae	2880	2829
BaeI	Planctomycetia	35651	34348
BaeI	unclassified	53223	51858
BaeI	Acidithiobacillia	5551	5442
BaeI	Alphaproteobacteria	970032	955036
BaeI	Betaproteobacteria	654416	639179
BaeI	Deltaproteobacteria	109100	107330
BaeI	Epsilonproteobacteria	59026	57632
BaeI	Gammaproteobacteria	2419275	2378905
BaeI	Hydrogenophilalia	1243	1166
BaeI	Oligoflexia	10796	10712
BaeI	Zetaproteobacteria	3258	3211
BaeI	superkingdom	732	0
BaeI	unclassified	1627	770
BaeI	Rhodothermia	934	924
BaeI	Spirochaetia	70888	70153
BaeI	Synergistia	5467	5378
BaeI	Mollicutes	14872	14459
BaeI	unclassified	1135	1094
BaeI	Thermodesulfobacteria	1634	1594
BaeI	Thermotogae	13043	12920
BaeI	Methylacidiphilae	730	728
BaeI	Opitutae	5816	5735
BaeI	Spartobacteria	1629	1616
BaeI	Verrucomicrobiae	12023	11279
BaeI	unclassified	3054	2986
BaeI	unclassified	329	327
BaeI	Candidatus Babeliae	103	102
BaeI	unclassified	26344	18667
BaeI	Dothideomycetes	130905	128369
BaeI	Eurotiomycetes	360208	357574
BaeI	Leotiomycetes	57900	57053
BaeI	Orbiliomycetes	8588	8567
BaeI	Pezizomycetes	23205	22202
BaeI	Pneumocystidomycetes	1809	1774
BaeI	Saccharomycetes	105587	103932
BaeI	Schizosaccharomycetes	7002	6901
BaeI	Sordariomycetes	267566	264364
BaeI	Xylonomycetes	3787	3743
BaeI	unclassified	3137	3096
BaeI	Agaricomycetes	118443	114159
BaeI	Exobasidiomycetes	14844	14749
BaeI	Malasseziomycetes	6360	6310
BaeI	Microbotryomycetes	2895	2858
BaeI	Mixiomycetes	1840	1801
BaeI	Pucciniomycetes	21905	19651
BaeI	Tremellomycetes	56114	55654
BaeI	Ustilaginomycetes	13818	13672
BaeI	Wallemiomycetes	3640	3594
BaeI	Chytridiomycetes	8432	8134
BaeI	unclassified	4223	4123
BaeI	Glomeromycetes	9151	8494
BaeI	Mortierellomycetes	5683	5365
BaeI	Mucoromycetes	10619	10134
BcgI	unclassified	752	751
BcgI	unclassified	1429	1414
BcgI	unclassified	293	289
BcgI	Thermoprotei	29631	29478
BcgI	Archaeoglobi	7482	7463
BcgI	Candidatus Methanoliparia	1133	1119
BcgI	Halobacteria	775079	770525
BcgI	Methanobacteria	9137	9074
BcgI	Methanococci	4014	3954
BcgI	Methanomicrobia	97377	96682
BcgI	Methanonatronarchaeia	225	219
BcgI	Methanopyri	1800	1794
BcgI	Thermococci	29912	29830
BcgI	Thermoplasmata	12740	12651
BcgI	unclassified	912	902
BcgI	Nitrososphaeria	7403	7351
BcgI	unclassified	6618	6563
BcgI	unclassified	3504	3388
BcgI	Abditibacteria	3271	3257
BcgI	Acidobacteriia	264959	262398
BcgI	Blastocatellia	9438	6467
BcgI	Holophagae	4402	4268
BcgI	Thermoanaerobaculia	1092	1084
BcgI	Vicinamibacteria	11349	11213
BcgI	unclassified	6797	6709
BcgI	Acidimicrobiia	39456	38820
BcgI	Actinobacteria	20492634	20339427
BcgI	Coriobacteriia	367649	355673
BcgI	Nitriliruptoria	37308	36504
BcgI	Rubrobacteria	23482	22883
BcgI	Thermoleophilia	75945	74138
BcgI	unclassified	14094	13452
BcgI	Aquificae	5605	5573
BcgI	Armatimonadia	6292	6236
BcgI	Chthonomonadetes	3526	3518
BcgI	Fimbriimonadia	4728	4704
BcgI	unclassified	4248	4217
BcgI	Bacteroidia	884373	865595
BcgI	Chitinophagia	284736	283172
BcgI	Cytophagia	681990	677882
BcgI	Flavobacteriia	801591	788921
